accx,accy,accz,gryx,gryy,gryz,number,activity
0.98610944,-0.65409976,0.24848846,-0.62770766,-0.27871162,-0.07733554,9.0,1
0.79931575,-0.6844946,0.7126629,-1.5067253,-0.028588492,-0.33377677,9.0,1
0.67104685,-0.6203549,1.021739,0.5207015,-0.0628144,0.19404571,9.0,1
0.87172496,-0.5532464,0.3510053,0.10049606,-0.10946705,0.109117985,9.0,1
0.5036117,-0.65513694,0.4233159,0.22300072,0.05715953,0.25961772,9.0,1
0.7029788,-0.6417303,0.6381879,-0.22949335,0.25246188,0.08656833,9.0,1
0.7510323,-0.61847496,0.57560724,-0.09843657,0.3211406,0.14199999,9.0,1
0.6631297,-0.56234914,0.6052054,0.5742308,0.33112386,0.13531537,9.0,1
0.6362447,-0.6029826,0.4704032,0.6084392,0.30707324,0.51153857,9.0,1
0.6794428,-0.7267302,0.65242666,0.10513864,0.3666762,0.43111378,9.0,1
0.6636478,-0.8015922,0.73399234,-0.7080452,1.0554705,1.0381218,9.0,1
0.96290576,-0.7833397,0.83522874,-0.5238606,1.3218949,1.6281304,9.0,1
0.78844035,-0.7845665,0.8437713,-0.06620034,1.3531537,1.8949738,9.0,1
1.0538204,-0.75736356,0.48054022,-0.9195616,1.3388944,1.7357473,9.0,1
0.6107522,-0.8889729,0.6257524,-0.95687675,1.0518401,1.7552427,9.0,1
0.49618968,-0.84831256,0.27512634,-1.2929922,0.48384017,1.4556046,9.0,1
0.5762192,-0.71340984,0.2988088,-0.6563485,-0.33108896,1.0654013,9.0,1
0.24344626,-0.64411974,0.5090006,0.73122317,-0.29152235,1.1255977,9.0,1
0.12509033,-0.79702014,0.40133333,-0.27946213,-0.56489325,1.0435324,9.0,1
-0.05166304,-0.79202014,-0.088244535,-0.4299095,-0.23116885,0.56758106,9.0,1
-0.05491341,-0.63661635,0.29904154,0.3882834,-0.38423422,-0.15732397,9.0,1
0.13436356,-0.36593455,0.03580768,0.24897122,-0.25933847,-0.1891937,9.0,1
-0.3328055,-0.48069444,0.5385939,0.29921925,-0.26549947,-0.4905248,9.0,1
-0.31382334,-0.5986606,0.48154768,0.3891037,-0.26352727,-0.80180424,9.0,1
-0.14104912,-0.6254842,0.3501788,0.42531928,-0.2602286,-1.0187486,9.0,1
0.02708225,-0.6193168,0.32180947,-0.48113492,-0.5388704,-1.4014994,9.0,1
0.07620169,-0.5780264,0.4415358,-0.3637615,-0.5096187,-1.5245451,9.0,1
-1.3832864,0.43986464,-0.121697284,0.79670787,-1.3201495,-1.8976616,11.0,1
-1.2897661,0.43734694,-0.3044285,0.9888861,-1.8800337,-1.826871,11.0,1
-1.1195843,0.36175045,-0.34523624,1.3497504,-2.026083,-1.7621891,11.0,1
-1.1506888,0.16949415,-0.53754234,2.172708,-2.2183833,-1.7154666,11.0,1
-0.9883734,0.016540103,-0.6445201,2.8087234,-2.0721421,-2.1365273,11.0,1
-0.7750433,0.060986064,-0.617004,2.9594326,-0.50450486,-2.5110576,11.0,1
-0.63034064,0.34554267,-0.384572,3.1315222,-0.07506661,-2.4398305,11.0,1
-0.55549693,0.628613,0.03193482,2.5008998,0.7931998,-1.6697041,11.0,1
-0.35170534,0.9647915,0.7445307,0.9464746,1.1415675,-0.27527332,11.0,1
-0.40808782,1.0688655,1.461507,-1.1455643,0.7566002,0.31763247,11.0,1
-0.5764567,0.91268885,1.5303938,-2.6206818,-0.13266248,0.7417475,11.0,1
-0.64692295,0.74931425,0.915038,-3.5967395,0.29649654,0.8897514,11.0,1
-0.63305086,0.6061946,0.3175104,-3.8817868,0.40849432,1.5241786,11.0,1
-0.62410706,0.6086808,-0.04239748,-3.7532432,0.06736971,2.4007702,11.0,1
-0.6499903,0.6586592,-0.37856063,-3.3033848,0.17130406,2.8113415,11.0,1
-0.9518628,0.41547728,-0.57194126,-2.4743533,0.57311374,2.8104165,11.0,1
-0.96281576,0.38784918,-0.94558036,-0.98029906,0.27680922,2.6756246,11.0,1
-0.8572525,0.6386389,-0.7430539,-0.056007616,0.7477165,2.4360433,11.0,1
-0.9250889,1.011012,-0.59285223,0.9090198,0.7874402,3.0606618,11.0,1
-1.3229305,1.2169278,-0.419648,1.5672882,0.78058106,3.134594,11.0,1
-1.6731304,1.4221587,-0.43248478,2.6808956,0.9447816,2.269661,11.0,1
-2.1281943,0.8286993,0.98634404,2.0398884,-1.6868782,0.6452831,11.0,1
-2.3895051,0.40190887,2.2652948,-2.13555,0.7211177,-2.3032062,11.0,1
-1.666894,0.8115424,0.7993263,-0.9899333,-0.8322079,-2.289261,11.0,1
-1.0406982,1.2492139,-0.008048348,-0.1590344,-1.740006,-2.1040468,11.0,1
-1.2984235,1.0341027,-0.0393511,-0.77089447,-0.26197392,-2.6105587,11.0,1
-1.2467134,1.0149097,-0.19728988,-0.060667645,-0.79325217,-2.5459118,11.0,1
-1.0076467,0.89421904,-0.31100392,0.60166734,-1.7903588,-1.6816771,11.0,1
-1.0028889,0.5808438,-0.35245043,1.2237725,-2.1316578,-1.7484708,11.0,1
-1.176957,0.27945504,-0.5935015,1.6950637,-1.1890404,-2.4955416,11.0,1
-1.0953424,0.207787,-0.6109476,2.0889149,-0.6669252,-2.8260198,11.0,1
-0.80079633,0.26952296,-0.5108891,2.3953598,-0.18577285,-2.8868968,11.0,1
-0.62046885,0.36243233,-0.22322962,2.415396,0.7260744,-2.6154456,11.0,1
-0.49633235,0.6145475,0.20050481,2.035403,1.2846321,-1.2449783,11.0,1
-0.37639913,0.7014005,0.8791441,0.8618261,0.6759835,0.14009757,11.0,1
-0.51064587,0.61387527,1.3678026,-1.0340902,0.03070034,0.4707502,11.0,1
-0.69559604,0.5615715,1.352294,-2.6849797,0.2611536,0.4542743,11.0,1
-0.6558561,0.49450892,0.9285777,-3.4419289,-0.10292207,0.9620953,11.0,1
-0.49008736,0.48741826,0.30737814,-4.065203,0.13864896,1.4238046,11.0,1
-0.41786957,0.53703094,-0.12128929,-3.7809591,0.20498893,2.5159793,11.0,1
-0.45848578,0.6778761,-0.5829421,-2.6968653,-0.3358188,3.5538568,11.0,1
-0.9006585,0.6930065,-0.8263788,-0.9607688,-1.4978241,4.48115,11.0,1
-1.3510078,0.60262245,-0.804129,0.20064305,0.5222025,2.6131418,11.0,1
-1.2984867,0.7642426,-0.651492,0.9334893,0.67394143,2.9765544,11.0,1
-1.0648806,1.0195967,-0.27201673,1.7349097,-0.24839526,2.4515243,11.0,1
-1.3422048,1.0589123,-0.4517696,2.8076937,0.5460786,1.7244202,11.0,1
-1.4382908,1.1866583,0.36933336,2.327606,1.0647382,1.1952189,11.0,1
-1.4197166,1.0928496,0.24116507,-0.1918815,-1.8404497,0.5409648,11.0,1
-1.3954729,0.8730744,1.1481922,-2.2193084,1.8992673,-2.0807116,11.0,1
-1.4725115,0.7702061,0.9985899,-2.0655098,0.029077185,-2.19065,11.0,1
-0.8666541,0.48056418,-0.05298943,0.19947368,0.011309734,0.1314931,9.0,1
-0.89233625,0.47749963,-0.04624161,0.006440265,0.18798941,0.09583603,9.0,1
-0.92913324,0.524243,-0.015753847,-0.255778,0.26895523,-0.044191737,9.0,1
-0.79042846,0.47029495,-0.07982364,-0.7113438,0.4035201,-0.12007865,9.0,1
-0.9203168,0.45913702,-0.04055682,-0.34869933,0.077422805,-0.02300344,9.0,1
-0.90365696,0.44666132,-0.059946977,-0.20123646,-0.17379989,-0.2417281,9.0,1
-0.8367351,0.45055333,-0.113859616,0.05148721,0.08471828,0.032620203,9.0,1
-0.9302891,0.44552454,-0.012879847,0.097424276,-0.06328564,0.0021293017,9.0,1
-0.88633454,0.43138725,-0.02498206,-0.037734017,0.06127851,-0.07351327,9.0,1
-0.87304085,0.45990604,-0.024399787,-0.052499503,-0.20139354,-0.122522116,9.0,1
-0.8948023,0.52986175,0.10241629,0.08208284,-0.20947441,-0.23975588,9.0,1
-0.97712356,0.6103405,0.25657415,1.1117399,-0.8972214,0.071418874,9.0,1
-0.87678635,0.6214275,0.8084731,-0.5234417,-1.0392737,0.42099085,9.0,1
-1.0837986,0.6275433,0.6922346,-1.555612,-1.2292703,0.5166,9.0,1
-1.2417767,0.61183536,0.5491494,-2.1649938,-1.1466639,0.1436057,9.0,1
-1.2097863,0.5834746,0.42449674,-2.367923,-1.3431705,-0.17268288,9.0,1
-1.1347376,0.50099915,0.47944465,-1.9091109,-1.5573747,-0.36514032,9.0,1
-1.1365955,0.41908392,0.62263036,-1.6115673,-1.691067,-0.51769954,9.0,1
-0.99523336,0.3799799,0.3700382,-1.509989,-1.4329327,-0.8089427,9.0,1
-0.791005,0.23091404,0.61459637,-1.103275,-1.463319,-0.79145443,9.0,1
-0.68753815,0.13442197,0.54653686,-1.6840333,-1.2390965,-0.78065085,9.0,1
-0.56412566,-0.0011664551,0.6086099,-1.984579,-0.8130267,-0.8007047,9.0,1
-0.48990345,-0.14203458,0.73847616,-1.2115552,-0.49640656,-0.8780926,9.0,1
-0.31535563,-0.1855535,0.761835,-0.70893526,-1.0260617,-0.6407453,9.0,1
-0.314419,-0.2677541,0.6068545,-0.33653438,-1.0072819,-0.56704,9.0,1
-0.16594402,-0.30067533,0.54921454,-0.1773429,-1.3426644,-0.39903462,9.0,1
0.06754139,-0.3012423,0.47332412,-0.50984555,-0.54159313,-0.27504644,9.0,1
0.02420059,-0.24234207,0.06253559,0.049898963,0.07070329,-0.14114478,9.0,1
0.036590107,-0.19316228,0.022450907,0.9608561,0.69881237,0.043458696,9.0,1
-0.17843889,-0.047658976,0.15000345,1.9097567,0.93837625,0.5828527,9.0,1
-0.5252074,0.07813046,0.48895916,1.4777005,1.8878528,0.31281537,9.0,1
-0.72482157,0.17468765,0.45315343,1.9450648,2.126893,0.34320155,9.0,1
-0.9435357,0.23877087,0.96046656,0.9595471,2.4149249,0.71108204,9.0,1
-1.1308839,0.40701813,0.5915584,1.7521535,2.6324627,1.2860807,9.0,1
-1.2462739,0.52638924,1.2517394,0.83877033,2.0387888,1.1728089,9.0,1
-1.2604457,0.6550086,0.697565,1.385931,2.0815845,1.2917356,9.0,1
-1.4032732,0.5674708,0.8287692,0.5515764,1.7035636,0.9591631,9.0,1
-1.1667155,0.45939174,0.6451244,1.1782544,1.0166718,0.1311615,9.0,1
-0.85715485,0.47904333,0.6513225,0.2539454,0.97152007,-0.061208695,9.0,1
-1.0253102,0.4210941,0.28287685,0.33101913,-0.13447762,0.29215068,9.0,1
-0.99784386,0.41008076,0.30321032,0.56433475,0.14943509,0.22938862,9.0,1
-0.93667966,0.39992553,0.42073497,-0.5968502,0.26649433,0.092886426,9.0,1
-1.0356952,0.52194846,0.6814626,1.0348057,-0.9463175,0.04436627,9.0,1
-0.96649903,0.61165726,1.382981,-0.33049554,-1.6148659,-0.11477285,9.0,1
-1.1333135,0.7091626,0.89063054,-1.5487528,-1.9024613,-0.009651671,9.0,1
-1.1274899,0.72396255,0.7280959,-1.954507,-1.9814898,-0.06934193,9.0,1
-1.1675937,0.6389243,0.6609424,-2.434368,-1.593119,-0.39393827,9.0,1
-1.0714521,0.4987189,0.5780197,-1.973723,-1.6503135,-0.64432317,9.0,1
-0.9825182,0.3898421,0.87686956,-1.7674251,-1.4965152,-0.637115,9.0,1
-1.08716,0.30047804,0.6399615,-2.534829,-1.5948296,-0.8828748,9.0,1
0.95848227,0.037646428,1.0389054,-1.4873871,2.2769392,0.49850094,10.0,1
0.99402654,-0.0062239664,0.9554694,-1.3970662,2.4325004,1.0048035,10.0,1
1.2402012,-0.060005397,1.1016948,-0.3766944,2.374538,1.2780871,10.0,1
1.2293718,-0.12956175,0.8840024,-1.730267,2.1132622,1.2712629,10.0,1
1.0672748,-0.2344747,0.6675638,-1.0197086,1.6804204,1.4768802,10.0,1
0.89437324,-0.27567127,0.962721,-0.2934073,0.96345663,0.8382467,10.0,1
0.73013383,-0.18607736,0.5300628,0.27520353,0.12107349,0.3963119,10.0,1
0.16891953,-0.11628351,-0.092866294,-0.03267256,-0.49188614,0.0076270886,10.0,1
-0.08605527,-0.19168362,0.04773847,0.0068416907,-0.95670223,-0.24975662,10.0,1
-0.25428626,-0.22747788,0.13657197,-0.30579913,-1.4406297,-0.36274922,10.0,1
-0.16235082,-0.2624964,0.44808823,0.09630727,-1.6808219,-0.46609017,10.0,1
-0.0915514,-0.29090223,0.46209145,0.47837728,-1.805229,-0.48612654,10.0,1
0.18343511,-0.33270305,0.5236981,0.34836772,-1.8583219,-0.61477476,10.0,1
0.35447782,-0.40097228,0.48326197,-0.8216835,-2.1366146,-0.96460855,10.0,1
0.413855,-0.41560754,0.6625905,-0.34389967,-2.2445982,-1.2911596,10.0,1
0.5727639,-0.3954024,1.0988352,-0.61617106,-2.0913234,-1.4628651,10.0,1
0.5454987,-0.3625607,0.6331179,0.6047391,-1.4911919,-1.4788,10.0,1
0.65659636,-0.3921003,0.48208976,0.99181825,-1.106818,-1.200455,10.0,1
0.9626549,-0.45289388,0.51325935,0.902056,-0.9150936,-0.7771951,10.0,1
1.2538636,-0.4406806,0.55166334,0.75127697,-1.1013726,-0.5486268,10.0,1
1.2256281,-0.31698465,0.7035917,1.2180653,-0.478674,-0.12878785,10.0,1
1.0639153,-0.23052332,0.6480874,-0.09403834,-0.29672343,0.061470497,10.0,1
1.0602694,-0.20274675,0.41866732,0.4870341,0.0010646508,0.2730742,10.0,1
1.1773746,-0.152367,0.53814566,0.09005899,-0.02713987,0.21142918,10.0,1
1.0795791,-0.13488166,0.5639513,0.20348793,0.5438271,0.21717131,10.0,1
1.006259,-0.08848012,0.29004988,0.38940042,0.8363967,0.19559905,10.0,1
0.9062753,-0.06326343,0.5869673,0.05333726,1.4813831,0.2950828,10.0,1
0.9412373,-0.107899964,0.5082545,0.5874778,2.1476974,0.46354198,10.0,1
1.0235566,-0.13972847,0.847397,-0.41196752,2.542962,0.54124403,10.0,1
1.1526568,-0.18571535,0.8990094,-0.92415184,2.9266205,0.68575734,10.0,1
1.268112,-0.1539395,0.97080386,-0.5065644,2.8350081,0.656907,10.0,1
1.2854143,-0.1537499,0.9846595,-1.0417696,2.6463904,0.62336177,10.0,1
1.1758778,-0.15865418,0.75385845,-0.74796087,2.3659508,0.7536506,10.0,1
0.9656045,-0.22724614,0.758757,0.23401375,1.8438182,0.4735253,10.0,1
0.8252746,-0.24656448,0.70179605,-1.1694753,1.4395651,0.86910415,10.0,1
0.6512803,-0.21692137,0.62209594,-0.49326494,0.31030208,0.20394172,10.0,1
0.36067405,-0.2201076,0.41161308,-0.1891937,-0.31150636,-0.07702138,10.0,1
0.050308883,-0.12599246,-0.025381412,0.059952058,-1.1020184,-0.20217894,10.0,1
-0.3425844,-0.19078435,0.044076297,0.13203415,-1.4736339,-0.4320737,10.0,1
-0.17581388,-0.2745182,0.127474,-0.56524235,-2.0042663,-0.7491128,10.0,1
-0.11676618,-0.29697677,0.20308001,-0.11465068,-1.9783657,-1.0222917,10.0,1
0.037787206,-0.32125112,0.6430232,0.15392059,-2.5220182,-1.4042046,10.0,1
0.26661736,-0.33472568,0.44121784,1.0154151,-2.1696362,-1.461242,10.0,1
0.56277716,-0.33623308,0.5765199,0.90600044,-2.4971821,-1.1339229,10.0,1
0.7921187,-0.34256333,0.66648924,-0.70752156,-2.809666,-1.0874797,10.0,1
1.0162189,-0.3377596,0.910196,0.5883854,-1.7120633,-0.740037,10.0,1
0.9924598,-0.3342497,0.9786894,0.6442883,-1.2441928,-0.974906,10.0,1
0.97016305,-0.3527799,0.26759514,1.1420387,-0.69542646,-0.5388006,10.0,1
1.2662569,-0.34957927,0.6821301,0.5257979,-0.5992588,-0.25844836,10.0,1
1.1091341,-0.24266863,0.7516137,0.20359266,-0.39409533,-0.19444713,10.0,1
1.5237728,0.70236534,-0.7452986,-0.33089763,2.3307803,-3.0277433,10.0,1
1.2777219,0.34936345,-0.673712,-0.17866123,-0.4148447,-0.7727979,10.0,1
1.213887,0.35120496,0.01300776,0.66770226,0.81467193,0.4755931,10.0,1
0.9038388,0.6051733,0.53928435,-1.78566,-2.200615,0.8618676,10.0,1
0.9835494,0.5129547,0.6808518,-1.7296813,1.0771405,0.38137063,10.0,1
1.2569901,0.6024015,0.4815019,-1.3051434,1.197874,0.791696,10.0,1
1.474216,0.6541413,0.5964749,-1.4801966,1.9846975,1.0787168,10.0,1
1.4391147,0.6881125,0.50261295,-2.4579673,1.4670237,1.4308528,10.0,1
1.3616103,0.6352791,0.36643836,-1.7273791,1.9571139,1.5699861,10.0,1
1.2789085,0.56869626,0.52842164,-1.1627992,2.5890846,1.2880927,10.0,1
1.2071698,0.47636032,0.6212523,-1.693092,2.3907185,1.1836509,10.0,1
1.0496252,0.37616473,0.55398196,-2.7888563,1.5428109,1.4933305,10.0,1
0.77595633,0.18739174,0.28029495,-2.6938596,0.9245961,1.5916831,10.0,1
0.40287185,0.026005765,0.19454072,-2.0171335,0.7823918,1.3117919,10.0,1
0.11915871,-0.119070634,-0.031343967,-1.0026699,0.44497037,0.9808082,10.0,1
-0.06642657,-0.24164784,0.08298214,0.26591933,0.38215756,0.47530842,10.0,1
-0.01815393,-0.367239,0.3149088,0.45542294,0.07736673,0.21147957,10.0,1
-0.0069796443,-0.39424986,0.402844,0.19424167,-0.2988351,-0.12877615,10.0,1
0.11771909,-0.39314973,0.32568702,0.63764894,-0.5361547,-0.28706837,10.0,1
0.20038697,-0.32792014,0.30418402,0.5879985,-0.9182964,-0.39424363,10.0,1
0.34515673,-0.12066237,0.3101836,0.5171719,-1.6302041,-0.3949484,10.0,1
0.41629854,0.04759843,0.4042109,0.6873077,-1.6351671,-1.112702,10.0,1
0.69668937,0.15274742,0.44279236,0.8430018,-1.8071365,-1.7208431,10.0,1
0.94830066,0.30514294,0.48391598,1.1447833,-1.4906545,-2.335272,10.0,1
1.1524732,0.405231,0.47230473,2.0185542,-1.0614767,-2.7533379,10.0,1
1.4339222,0.4248933,0.5297781,2.389662,-1.0928499,-2.451823,10.0,1
1.5410311,0.51475775,0.65397686,2.2689612,-1.0356022,-1.7546461,10.0,1
1.4756469,0.508458,0.6507398,1.9641049,-1.0025781,-1.0810539,10.0,1
1.2232999,0.4845961,0.7369807,0.5770748,-1.307416,-0.6872769,10.0,1
1.0559562,0.43940574,0.49980742,-1.1099665,-1.6690823,-0.52509564,10.0,1
1.0313795,0.40967232,0.19275846,-0.056043714,-0.7449506,-0.3315981,10.0,1
1.0973386,0.47987103,0.18968615,1.263637,-0.063274436,0.2499561,10.0,1
0.83481044,0.5018877,0.71400017,0.6651188,0.4683058,0.42251465,10.0,1
1.0824726,0.40671095,0.704562,-0.51837194,0.7486587,0.279224,10.0,1
1.4247181,0.35398462,0.8206769,-1.0627396,1.151584,1.1055473,10.0,1
1.5084815,0.53662735,0.8665538,-1.425678,1.7031437,1.541116,10.0,1
1.5390922,0.6308304,0.8878252,-1.9888346,2.3221328,1.5361853,10.0,1
1.6210883,0.63828576,0.67042506,-2.4290135,2.3113744,1.7127746,10.0,1
1.4167541,0.6386724,0.44317594,-2.4892583,2.0192032,1.8638494,10.0,1
1.1112792,0.51554954,0.30658168,-2.8643954,1.3943411,1.7245436,10.0,1
0.781011,0.2791906,0.15236901,-2.251803,0.9209203,1.7721466,10.0,1
0.49633938,0.010767392,0.19719794,-1.2426845,1.004001,1.4574684,10.0,1
0.31589556,-0.21138632,0.2695534,-0.92065704,0.7091341,1.1520149,10.0,1
0.17878342,-0.3329864,0.27487856,-0.6629413,0.30270758,0.8828762,10.0,1
0.061799336,-0.40219826,0.24832538,-0.4227099,0.108327165,0.57055825,10.0,1
-0.032002304,-0.3880412,0.15546228,0.13726488,-0.15912175,0.32337388,10.0,1
-0.098977424,-0.31527716,0.18448295,0.6515814,-0.16409948,-0.2189891,10.0,1
0.0076537766,-0.2685465,0.17026618,0.62719285,-0.8892596,-0.5814001,10.0,1
0.15646763,-0.16344813,0.17161983,0.5741171,-1.5036216,-0.83125144,10.0,1
0.3628848,0.038728703,0.24865036,0.9773571,-1.5488716,-1.3524232,10.0,1
0.98553073,0.14783561,-0.07334568,0.045907922,-0.22432837,0.031385127,14.0,1
0.98170024,0.14089271,-0.09393494,-0.6793087,-0.86524546,0.63869005,14.0,1
0.94674635,0.13754098,-0.11093303,-1.2538059,-0.7429114,1.6746951,14.0,1
0.95775926,0.15453908,-0.1293676,-0.22674653,0.4368571,2.0454557,14.0,1
0.9563228,0.14879325,-0.12122766,-0.3530895,2.2702284,3.5555465,14.0,1
0.9527317,0.1456809,-0.11691829,-0.6591691,1.4390839,5.6842318,14.0,1
0.95656216,0.13155572,-0.11931238,-0.7914675,-0.74983895,7.152398,14.0,1
0.9663779,0.13011928,-0.113805965,0.8822155,-1.7353926,2.9044995,14.0,1
0.96589917,0.124852255,-0.10853894,0.5469688,-0.96060604,0.6203296,14.0,1
0.9824184,0.12772517,-0.11835475,-0.24556014,-0.26663452,0.28977722,14.0,1
0.9670962,0.114078805,-0.10494778,-0.030354738,-0.10788458,-0.562454,14.0,1
0.9690116,0.11671231,-0.1051872,0.04117027,-0.2073816,-0.6660074,14.0,1
0.9723633,0.1212611,-0.11284832,0.11513596,-0.13776883,-0.5092771,14.0,1
0.9544076,0.117430545,-0.12817055,-0.05612887,-0.12265036,-0.17797627,14.0,1
0.94674635,0.13514689,-0.20166941,-0.07351572,-0.0585787,-0.33697402,14.0,1
